"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Javonte Williams (DAL)","3","13","4.3","2","60.0%","0","0","0%","0","0","0","0%","0","16","13.3","0.8","78.5%"
"2","J.K. Dobbins (DEN)","3","20","6.7","1","100.0%","0","0","0%","0","0","0","0%","0","10","8.0","0.8","52.4%"
"3","Chase Brown (CIN)","4","20","5.0","1","100.0%","0","1","0.0%","0","0","0","100.0%","0","17","8.0","0.5","98.7%"
"4","Jaylen Warren (PIT)","4","12","3.0","0","100.0%","1","1","100.0%","5","5.0","1","100.0%","0","16","7.7","0.5","91.8%"
"5","Alvin Kamara (NO)","2","16","8.0","1","100.0%","0","0","0%","0","0","0","0%","0","11","7.6","0.7","86.4%"
"6","Saquon Barkley (PHI)","4","12","3.0","1","80.0%","1","1","100.0%","3","3.0","0","100.0%","0","16","7.5","0.5","99.8%"
"7","Josh Jacobs (GB)","5","13","2.6","1","100.0%","0","0","0%","0","0","0","0.0%","0","15","7.3","0.5","98.9%"
"8","Jacory Croskey-Merritt (WAS)","2","12","6.0","1","50.0%","0","0","0%","0","0","0","0%","0","17","7.2","0.4","46.1%"
"9","James Conner (ARI)","2","7","3.5","0","50.0%","1","1","100.0%","4","4.0","1","100.0%","0","4","7.1","1.8","45.4%"
"10","De'Von Achane (MIA)","0","0","0","0","0.0%","1","1","100.0%","11","11.0","1","100.0%","0","16","7.1","0.4","99.7%"
"11","Bucky Irving (TB)","1","-1","-1.0","0","100.0%","1","1","100.0%","9","9.0","1","100.0%","0","10","6.8","0.7","84.1%"
"12","Zach Charbonnet (SEA)","4","8","2.0","1","66.7%","0","0","0%","0","0","0","0%","0","16","6.8","0.4","75.6%"
"13","Kyren Williams (LAR)","4","8","2.0","1","100.0%","0","0","0%","0","0","0","0%","0","17","6.8","0.4","99.4%"
"14","Braelon Allen (NYJ)","3","7","2.3","1","50.0%","0","0","0%","0","0","0","0%","0","4","6.7","1.7","18.0%"
"15","Ashton Jeanty (LV)","2","7","3.5","1","100.0%","0","0","0%","0","0","0","0%","0","17","6.7","0.4","85.5%"
"16","James Cook III (BUF)","4","4","1.0","1","100.0%","0","0","0%","0","0","0","0.0%","0","17","6.4","0.4","99.5%"
"17","Raheim Sanders (CLE)","2","1","0.5","1","33.3%","0","0","0%","0","0","0","0.0%","0","5","6.1","1.2","1.3%"
"18","Dylan Sampson (CLE)","2","4","2.0","0","33.3%","2","2","100.0%","19","9.5","0","100.0%","0","15","2.3","0.2","31.1%"
"19","Jonathan Taylor (IND)","7","20","2.9","0","77.8%","0","0","0%","0","0","0","0%","0","17","2.0","0.1","99.6%"
"20","Omarion Hampton (LAC)","4","17","4.3","0","100.0%","0","0","0%","0","0","0","0%","0","9","1.7","0.2","84.0%"
"21","Tony Pollard (TEN)","3","16","5.3","0","60.0%","0","0","0%","0","0","0","0%","0","17","1.6","0.1","87.8%"
"22","Christian McCaffrey (SF)","8","1","0.1","0","100.0%","2","3","66.7%","12","6.0","0","100.0%","0","17","1.3","0.1","99.8%"
"23","Bhayshul Tuten (JAC)","2","11","5.5","0","33.3%","0","0","0%","0","0","0","0%","0","15","1.1","0.1","30.2%"
"24","Bijan Robinson (ATL)","4","11","2.8","0","66.7%","0","0","0%","0","0","0","0%","0","17","1.1","0.1","99.8%"
"25","David Montgomery (DET)","1","3","3.0","0","33.3%","1","1","100.0%","7","7.0","0","33.3%","0","17","1.0","0.1","92.3%"
"26","Isiah Pacheco (KC)","1","10","10.0","0","100.0%","0","0","0%","0","0","0","0%","0","13","1.0","0.1","71.5%"
"27","Chuba Hubbard (CAR)","3","9","3.0","0","100.0%","0","0","0%","0","0","0","0%","0","15","0.9","0.1","62.9%"
"28","Austin Ekeler (WAS)","2","8","4.0","0","50.0%","0","0","0%","0","0","0","0%","0","3","0.8","0.3","31.3%"
"29","Trey Benson (ARI)","2","8","4.0","0","50.0%","0","0","0%","0","0","0","0.0%","0","5","0.8","0.2","34.7%"
"30","Travis Etienne Jr. (JAC)","4","8","2.0","0","66.7%","0","0","0%","0","0","0","0%","0","17","0.8","0.0","87.1%"
"31","Jordan Mason (MIN)","3","7","2.3","0","100.0%","0","0","0%","0","0","0","0%","0","16","0.7","0.0","66.6%"
"32","Breece Hall (NYJ)","2","6","3.0","0","33.3%","0","0","0%","0","0","0","0%","0","16","0.6","0.0","96.7%"
"33","Jahmyr Gibbs (DET)","2","-6","-3.0","0","66.7%","2","2","100.0%","12","6.0","0","66.7%","0","17","0.6","0.0","99.9%"
"34","Rasheen Ali (BAL)","1","5","5.0","0","50.0%","0","0","0%","0","0","0","0%","0","15","0.5","0.0","0.6%"
"35","Kenneth Walker III (SEA)","2","4","2.0","0","33.3%","0","0","0%","0","0","0","0%","0","17","0.4","0.0","95.8%"
"36","Isaiah Davis (NYJ)","1","3","3.0","0","16.7%","0","0","0%","0","0","0","0%","0","16","0.3","0.0","5.8%"
"37","Rhamondre Stevenson (NE)","1","3","3.0","0","50.0%","0","0","0%","0","0","0","0%","0","14","0.3","0.0","78.2%"
"38","Jerome Ford (CLE)","2","3","1.5","0","33.3%","0","0","0%","0","0","0","0.0%","0","13","0.3","0.0","19.2%"
"39","DJ Giddens (IND)","2","2","1.0","0","22.2%","0","0","0%","0","0","0","0%","0","9","0.2","0.0","4.1%"
"40","Chris Brooks (GB)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","100.0%","0","17","0.2","0.0","2.1%"
"41","Dameon Pierce (KC)","1","2","2.0","0","100.0%","0","0","0%","0","0","0","0%","0","5","0.2","0.0","3.6%"
