"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Dalton Kincaid (BUF)","1","1","100.0%","15","15.0","1","100.0%","0","0","0","0%","0","12","7.5","0.6","67.9%"
"2","Tucker Kraft (GB)","1","1","100.0%","15","15.0","1","100.0%","0","0","0","0%","0","8","7.5","0.9","45.9%"
"3","Davis Allen (LAR)","1","1","100.0%","13","13.0","1","50.0%","0","0","0","0%","0","20","7.3","0.4","0.7%"
"4","Jake Tonges (SF)","2","2","100.0%","13","6.5","1","66.7%","0","0","0","0%","0","16","7.3","0.5","21.1%"
"5","Zach Ertz (WAS)","1","1","100.0%","7","7.0","1","100.0%","0","0","0","0%","0","13","6.7","0.5","31.1%"
"6","Hunter Long (JAC)","1","1","100.0%","6","6.0","1","100.0%","0","0","0","0%","0","9","6.6","0.7","0.6%"
"7","George Kittle (SF)","1","1","100.0%","5","5.0","1","33.3%","0","0","0","0%","0","11","6.5","0.6","96.3%"
"8","Jonnu Smith (PIT)","1","1","100.0%","3","3.0","1","100.0%","0","0","0","0%","0","17","6.3","0.4","31.7%"
"9","Noah Fant (CIN)","1","1","100.0%","1","1.0","1","33.3%","0","0","0","0%","0","15","6.1","0.4","2.6%"
"10","Daniel Bellinger (NYG)","1","1","100.0%","14","14.0","0","50.0%","0","0","0","0%","0","16","1.4","0.1","0.6%"
"11","Austin Hooper (NE)","1","1","100.0%","10","10.0","0","100.0%","0","0","0","0%","0","17","1.0","0.1","0.6%"
"12","Michael Mayer (LV)","1","1","100.0%","7","7.0","0","100.0%","0","0","0","0%","0","13","0.7","0.1","10.7%"
"13","Tyler Warren (IND)","1","2","50.0%","4","4.0","0","100.0%","0","0","0","0%","0","17","0.4","0.0","80.3%"
"14","Trey McBride (ARI)","1","1","100.0%","4","4.0","0","50.0%","0","0","0","0%","0","17","0.4","0.0","99.7%"
"15","AJ Barner (SEA)","0","0","0%","0","0","0","0%","1","2","0","100.0%","0","17","0.2","0.0","38.1%"
"16","Harold Fannin Jr. (CLE)","1","1","100.0%","1","1.0","0","100.0%","0","0","0","0%","0","16","0.1","0.0","66.9%"
"17","Julian Hill (MIA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","14","0.0","0.0","0.6%"
"18","Travis Kelce (KC)","0","1","0.0%","0","0","0","100.0%","0","0","0","0%","0","17","0.0","0.0","77.3%"
"19","Tanner Conner (NYG)","0","1","0.0%","0","0","0","100.0%","0","0","0","0%","0","9","0.0","0.0","2.6%"
"20","Elijah Higgins (ARI)","0","1","0.0%","0","0","0","50.0%","0","0","0","0%","0","17","0.0","0.0","0.6%"
"21","Theo Johnson (NYG)","0","1","0.0%","0","0","0","50.0%","0","0","0","0%","0","15","0.0","0.0","38.0%"
"22","Juwan Johnson (NO)","0","2","0.0%","0","0","0","100.0%","0","0","0","0%","0","17","0.0","0.0","49.2%"
"23","Noah Gray (KC)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","16","0.0","0.0","9.1%"
"24","Josh Oliver (MIN)","0","0","0%","0","0","0","0%","0","0","0","0%","0","15","0.0","0.0","0.7%"
"25","Mike Gesicki (CIN)","0","2","0.0%","0","0","0","66.7%","0","0","0","0%","0","13","0.0","0.0","10.7%"
"26","Sam LaPorta (DET)","0","2","0.0%","0","0","0","100.0%","0","0","0","0%","0","9","0.0","0.0","72.5%"
"27","Colby Parkinson (LAR)","1","1","100.0%","-7","-7.0","0","50.0%","0","0","0","0%","1","15","-2.7","-0.2","19.2%"
""
""
