"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Deebo Samuel Sr. (WAS)","0","0","0%","0","0","0","0.0%","1","19","1","100.0%","0","16","7.9","0.5","91.2%"
"2","Calvin Austin III (PIT)","1","1","100.0%","18","18.0","1","100.0%","0","0","0","0%","0","14","7.8","0.6","9.3%"
"3","Jayden Reed (GB)","1","1","100.0%","17","17.0","1","25.0%","0","0","0","0%","0","7","7.7","1.1","47.9%"
"4","Isaac TeSlaa (DET)","1","1","100.0%","13","13.0","1","25.0%","0","0","0","0%","0","17","7.3","0.4","13.7%"
"5","Justin Jefferson (MIN)","1","2","50.0%","13","13.0","1","66.7%","0","0","0","0%","0","17","7.3","0.4","99.3%"
"6","Keenan Allen (LAC)","1","1","100.0%","11","11.0","1","33.3%","0","0","0","0%","0","17","7.1","0.4","60.2%"
"7","Keon Coleman (BUF)","1","2","50.0%","10","10.0","1","33.3%","0","0","0","0%","0","13","7.0","0.5","35.8%"
"8","Brian Thomas Jr. (JAC)","0","0","0%","0","0","0","0.0%","1","9","1","100.0%","0","14","6.9","0.5","83.4%"
"9","Cedric Tillman (CLE)","1","1","100.0%","5","5.0","1","100.0%","0","0","0","0%","0","13","6.5","0.5","10.4%"
"10","Quentin Johnston (LAC)","1","2","50.0%","5","5.0","1","66.7%","0","0","0","0%","0","14","6.5","0.5","48.6%"
"11","DeMario Douglas (NE)","1","3","33.3%","2","2.0","1","100.0%","0","0","0","0%","0","17","6.2","0.4","12.3%"
"12","Rome Odunze (CHI)","1","1","100.0%","1","1.0","1","50.0%","0","0","0","0%","0","12","6.1","0.5","74.8%"
"13","Marvin Harrison Jr. (ARI)","1","1","100.0%","1","1.0","1","100.0%","0","0","0","0%","0","12","6.1","0.5","76.3%"
"14","Ashton Dulin (IND)","0","0","0%","0","0","0","0.0%","1","15","0","100.0%","0","12","1.5","0.1","0.0%"
"15","Khalil Shakir (BUF)","2","2","100.0%","9","4.5","0","33.3%","0","0","0","0%","0","16","0.9","0.1","81.3%"
"16","Joshua Palmer (BUF)","1","2","50.0%","8","8.0","0","33.3%","0","0","0","0%","0","12","0.8","0.1","5.9%"
"17","Olamide Zaccheaus (CHI)","1","1","100.0%","7","7.0","0","50.0%","0","0","0","0%","0","16","0.7","0.0","2.1%"
"18","Jordan Whittington (LAR)","0","0","0%","0","0","0","0%","1","5","0","100.0%","0","17","0.5","0.0","2.2%"
"19","Courtland Sutton (DEN)","1","1","100.0%","5","5.0","0","50.0%","0","0","0","0%","0","17","0.5","0.0","86.9%"
