21. Isaac Brown, RB, Louisville (2027)

22. Nick Marsh, WR, Indiana (2027)

23. Jordon Davison, RB, Oregon (2028)

24. Savion Hiter, RB, Michigan (2029)

25. Andrew Marsh, WR, Michigan (2028)

26. Jalen Lott, WR, Oregon (2029)

27. Faizon Brandon, QB, Tennessee (2029)

28. Dallas Wilson, WR, Florida (2028)

29. Dylan Raiola, QB, Oregon (2027)

30. Bear Bachmeier, QB, BYU (2028)

31. Justice Haynes, RB, Georgia Tech (2027)

32. LJ Martin, RB, BYU (2027)

33. Ryan Wingo, WR, Texas (2027)

34. Sam Leavitt, QB, LSU (2027)

35. Marcel Reed, QB, Texas A&M (2027)

36. Tavien St. Clair, QB, Ohio State (2028)

37. TJ Moore, WR, Clemson (2027)

38. Ezavier Crowell, RB, Alabama (2029)

39. Terrance Carter, TE, Texas Tech (2027)

40. Hollywood Smothers, RB, Texas (2027)

41. Trey'Dez Green, TE, LSU (2027)

42. Eugene Wilson III, WR, LSU (2027)

43. Malik Washington, QB, Maryland (2028)

44. Mark Fletcher, RB, Miami (2027)

45. Josh Hoover, QB, TCU (2027)

46. Demond Williams Jr., QB, Washington (2027)

47. Caleb Hawkins, RB, Oklahoma State (2028)

48. Keisean Henderson, QB, Houston (2029)

49. Nate Sheppard, RB, Duke (2028)

50. Dierre Hill Jr., RB, Oregon (2028)

51. Harlem Berry, RB, LSU (2028)

52. Jayce Brown, WR, LSU (2027)

53. DJ Lagway, QB, Baylor (2027)

54. Nate Frazier, RB, Georgia (2027)

55. Julian Lewis, QB, Colorado (2028)

56. Husan Longstreet, QB, LSU (2028)

57. Quinton Martin, RB, Penn State (2027)

58. Isaiah Sategna III, WR, Oklahoma (2027)

59. AK Dear, RB, Alabama (2028)

60. John Mateer, QB, Oklahoma (2027)

61. Luke Reynolds, TE, Virginia Tech (2027)

62. Ethan Feaster, WR, USC (2029)

63. Luke Hasz, TE, Ole Miss (2027)

64. Raleek Brown, RB, Texas (2027)

65. Joshua Moore, WR, Miami (2028)

66. Cam Cook, RB, West Virginia (2027)

67. Kaliq Lockett, WR, Texas (2028)

68. Jared Curtis, QB, Vanderbilt (2029)

69. Kaelan Chudzinski, TE, Boston College (2028)

70. Dia Bell, QB, Texas (2029)

71. Deuce Knight, QB, Ole Miss (2028)

72. Ethan Grunkmeyer, QB, Virginia Tech (2028)

73. Nico Iamaleava, QB, UCLA (2027)

74. Gideon Davidson, RB, Clemson (2028)

75. Jonathan Hatton Jr., RB, Oklahoma (2029)

76. Brandon Inniss, WR, Ohio State (2027)

77. Nyck Harbor, WR, South Carolina (2027)

78. Cam Edwards, RB, Michigan State (2027)

79. Quincy Porter, WR, Notre Dame (2028)

80. Jonaz Walton, RB, Notre Dame (2029)

81. Isaiah Horton, WR, Texas A&M (2027)

82. Jayden Maiava, QB, USC (2027)

83. Linkon Cure, TE, Kansas State (2028)

84. Eric Singleton Jr., WR, Florida (2027)

85. Cederian Morgan, WR, Alabama (2029)

86. Caden Durham, RB, LSU (2027)

